"","name","cost","subscrition_id"
"1","auronplay","$4.99",300495615
"2","auronplay","$9.99",300495616
"3","auronplay","$24.99",300495617
"4","Cellbit","$4.99",19889
"5","Cellbit","$9.99",37579
"6","Cellbit","$24.99",37580
"7","ChicaLive","$4.99",14108
"8","ChicaLive","$9.99",31457
"9","ChicaLive","$24.99",31458
"10","Dyrus","$4.99",54
"11","Dyrus","$9.99",29710
"12","Dyrus","$24.99",29711
"13","JERICHO","$4.99",1419
"14","JERICHO","$9.99",24539
"15","JERICHO","$24.99",24540
"16","s1mple","$4.99",14196
"17","s1mple","$9.99",46276
"18","s1mple","$24.99",46277
"19","shroud","$4.99",2112
"20","shroud","$9.99",32940
"21","shroud","$24.99",32941
"22","SkipNhO","$4.99",15955
"23","SkipNhO","$9.99",24129
"24","SkipNhO","$24.99",24130
"25","SovietWomble","$4.99",14907
"26","SovietWomble","$9.99",47428
"27","SovietWomble","$24.99",47429
"28","Tfue","$4.99",13153
"29","Tfue","$9.99",28104
"30","Tfue","$24.99",28105
"31","Trymacs","$4.99",17614
"32","Trymacs","$9.99",24171
"33","Trymacs","$24.99",24172
